Column1,Column2,Column3,Column4
637,0,42,958
638,0,42,958
639,0,40,960
640,0,40,960
641,0,40,960
642,0,40,960
643,0,39,961
644,0,39,961
645,0,39,961
646,0,39,961
647,0,39,961
648,0,38,962
649,0,37,963
650,0,37,963
651,0,37,963
652,0,36,964
653,0,35,965
654,0,35,965
655,0,35,965
656,0,35,965
657,0,35,965
658,0,35,965
659,0,35,965
660,0,35,965
661,0,35,965
662,0,35,965
663,0,34,966
664,0,32,968
665,0,31,969
666,0,31,969
667,0,31,969
668,0,31,969
669,0,31,969
670,0,30,970
671,0,30,970
672,0,30,970
673,0,30,970
674,0,30,970
675,0,30,970
676,0,30,970
677,0,30,970
678,0,29,971
679,0,29,971
680,0,29,971
681,0,29,971
682,0,29,971
683,0,28,972
684,0,28,972
685,0,28,972
686,0,28,972
687,0,28,972
688,0,28,972
689,0,28,972
690,0,28,972
691,0,28,972
692,0,28,972
693,0,28,972
694,0,28,972
695,0,28,972
696,0,27,973
697,0,27,973
698,0,27,973
699,0,27,973
700,0,27,973
701,0,26,974
702,0,26,974
703,0,26,974
704,0,26,974
705,0,26,974
706,0,26,974
707,0,26,974
708,0,26,974
709,0,26,974
710,0,26,974
711,0,26,974
712,0,26,974
713,0,26,974
714,0,26,974
715,0,26,974
716,0,26,974
717,0,26,974
718,0,26,974
719,0,25,975
720,0,25,975
721,0,25,975
722,0,25,975
723,0,25,975
724,0,25,975
725,0,25,975
726,0,25,975
727,0,25,975
728,0,25,975
729,0,25,975
730,0,24,976
731,0,24,976
732,0,24,976
733,0,24,976
734,0,24,976
735,0,24,976
736,0,24,976
737,0,24,976
738,0,23,977
739,0,23,977
740,0,23,977
741,0,23,977
742,0,23,977
743,0,23,977
744,0,23,977
745,0,23,977
746,0,23,977
747,0,23,977
748,0,23,977
749,0,23,977
750,0,23,977
751,0,23,977
752,0,23,977
753,0,23,977
754,0,23,977
755,0,23,977
756,0,23,977
757,0,22,978
758,0,22,978
759,0,22,978
760,0,22,978
761,0,22,978
762,0,22,978
763,0,22,978
764,0,22,978
765,0,22,978
766,0,22,978
767,0,22,978
768,0,22,978
769,0,22,978
770,0,22,978
771,0,22,978
772,0,22,978
773,0,22,978
774,0,22,978
775,0,22,978
776,0,22,978
777,0,22,978
778,0,21,979
779,0,21,979
780,0,21,979
781,0,21,979
782,0,21,979
783,0,21,979
784,0,21,979
785,0,20,980
786,0,20,980
787,0,20,980
788,0,20,980
789,0,20,980
790,0,20,980
791,0,20,980
792,0,20,980
793,0,20,980
794,0,20,980
795,0,20,980
796,0,20,980
797,0,20,980
798,0,20,980
799,0,20,980
800,0,19,981
801,0,19,981
802,0,19,981
803,0,18,982
804,0,18,982
805,0,18,982
806,0,18,982
807,0,18,982
808,0,18,982
809,0,18,982
810,0,18,982
811,0,18,982
812,0,18,982
813,0,18,982
814,0,17,983
815,0,17,983
816,0,17,983
817,0,17,983
818,0,17,983
819,0,17,983
820,0,17,983
821,0,17,983
822,0,17,983
823,0,17,983
824,0,17,983
825,0,17,983
826,0,17,983
827,0,17,983
828,0,17,983
829,0,17,983
830,0,17,983
831,0,17,983
832,0,17,983
833,0,17,983
834,0,17,983
835,0,17,983
836,0,15,985
837,0,15,985
838,0,15,985
839,0,15,985
840,0,15,985
841,0,15,985
842,0,15,985
843,0,15,985
844,0,15,985
845,0,15,985
846,0,15,985
847,0,15,985
848,0,15,985
849,0,15,985
850,0,15,985
851,0,15,985
852,0,15,985
853,0,14,986
854,0,14,986
855,0,14,986
856,0,14,986
857,0,14,986
858,0,13,987
859,0,13,987
860,0,13,987
861,0,13,987
862,0,13,987
863,0,13,987
864,0,13,987
865,0,13,987
866,0,12,988
867,0,12,988
868,0,12,988
869,0,11,989
870,0,11,989
871,0,11,989
872,0,11,989
873,0,11,989
874,0,11,989
875,0,11,989
876,0,11,989
877,0,11,989
878,0,11,989
879,0,11,989
880,0,11,989
881,0,11,989
882,0,11,989
883,0,11,989
884,0,11,989
885,0,11,989
886,0,11,989
887,0,11,989
888,0,11,989
889,0,11,989
890,0,11,989
891,0,10,990
892,0,10,990
893,0,10,990
894,0,10,990
895,0,10,990
896,0,10,990
897,0,10,990
898,0,10,990
899,0,10,990
900,0,10,990
901,0,10,990
902,0,10,990
903,0,10,990
904,0,10,990
905,0,10,990
906,0,10,990
907,0,10,990
908,0,10,990
909,0,10,990
910,0,10,990
911,0,10,990
912,0,10,990
913,0,10,990
914,0,10,990
915,0,10,990
916,0,10,990
917,0,10,990
918,0,10,990
919,0,10,990
920,0,10,990
921,0,10,990
922,0,10,990
923,0,10,990
924,0,9,991
925,0,9,991
926,0,9,991
927,0,9,991
928,0,9,991
929,0,9,991
930,0,8,992
931,0,8,992
932,0,8,992
933,0,8,992
934,0,8,992
935,0,8,992
936,0,8,992
937,0,8,992
938,0,8,992
939,0,8,992
940,0,8,992
941,0,7,993
942,0,7,993
943,0,7,993
944,0,7,993
945,0,7,993
946,0,7,993
947,0,7,993
948,0,7,993
949,0,7,993
950,0,7,993
951,0,7,993
952,0,7,993
953,0,7,993
954,0,7,993
955,0,7,993
956,0,7,993
957,0,7,993
958,0,7,993
959,0,6,994
960,0,6,994
961,0,6,994
962,0,6,994
963,0,6,994
964,0,6,994
965,0,6,994
966,0,6,994
967,0,6,994
968,0,6,994
969,0,6,994
970,0,6,994
971,0,6,994
972,0,6,994
973,0,6,994
974,0,6,994
975,0,6,994
976,0,6,994
977,0,6,994
978,0,6,994
979,0,6,994
980,0,6,994
981,0,6,994
982,0,6,994
983,0,6,994
984,0,6,994
985,0,6,994
986,0,6,994
987,0,6,994
988,0,6,994
989,0,6,994
990,0,6,994
991,0,6,994
992,0,6,994
993,0,6,994
994,0,6,994
995,0,6,994
996,0,5,995
997,0,5,995
998,0,5,995
999,0,5,995
1000,0,5,995
